Entity,Code,Year,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, male"
South Africa,ZAF,2012,10.21029
South Africa,ZAF,2014,10.38341
South Africa,ZAF,2015,10.49304
South Africa,ZAF,2017,10.29088
South Korea,KOR,1970,6.865
South Korea,KOR,1975,8.08151
South Korea,KOR,1980,8.69333
South Korea,KOR,1985,10.70476
South Korea,KOR,1990,10.53159
South Korea,KOR,1995,11.23645
South Korea,KOR,2000,11.65849
South Korea,KOR,2005,12.21027
South Korea,KOR,2009,11.86398
South Korea,KOR,2010,12.45993
South Korea,KOR,2015,12.85294
South Sudan,SSD,2008,6.19289
Spain,ESP,1970,5.20701
Spain,ESP,1981,5.3753
Spain,ESP,1986,5.84543
Spain,ESP,1991,7.48107
Spain,ESP,2004,9.01197
Spain,ESP,2005,9.29435
Spain,ESP,2006,9.38321
Spain,ESP,2007,9.47436
Spain,ESP,2008,9.5209
Spain,ESP,2009,9.55872
Spain,ESP,2010,9.67342
Spain,ESP,2011,9.78125
Spain,ESP,2012,9.78388
Spain,ESP,2014,9.96611
Spain,ESP,2015,10.132
Spain,ESP,2016,10.23251
Spain,ESP,2018,10.34807
Sri Lanka,LKA,1971,5.45855
Sri Lanka,LKA,1981,6.10374
Sri Lanka,LKA,2001,10.40786
Sri Lanka,LKA,2008,10.27356
Sri Lanka,LKA,2009,10.37709
Sri Lanka,LKA,2016,10.5209
Sri Lanka,LKA,2017,10.60633
Sri Lanka,LKA,2018,10.64824
Sudan,SDN,1983,2.1812
Suriname,SUR,2004,8.08189
Suriname,SUR,2012,9.18819
Sweden,SWE,1970,6.76557
Sweden,SWE,1974,9.46754
Sweden,SWE,1979,10.19205
Sweden,SWE,1986,10.33331
Sweden,SWE,1987,10.43812
Sweden,SWE,1988,10.54085
Sweden,SWE,1989,10.64317
Sweden,SWE,1990,10.77871
Sweden,SWE,1991,10.87303
Sweden,SWE,1992,11.05707
Sweden,SWE,1993,11.16349
Sweden,SWE,1994,11.25662
Sweden,SWE,1995,11.37698
Sweden,SWE,2004,12.10305
Sweden,SWE,2005,12.17598
Sweden,SWE,2006,12.23944
Sweden,SWE,2007,12.30293
Sweden,SWE,2008,12.09062
Sweden,SWE,2009,12.15173
Sweden,SWE,2010,12.21067
Sweden,SWE,2011,12.27154
Sweden,SWE,2012,12.32825
Sweden,SWE,2013,12.21796
Sweden,SWE,2014,12.26509
Sweden,SWE,2015,12.30996
Sweden,SWE,2016,12.35439
Sweden,SWE,2017,12.39988
Switzerland,CHE,1980,8.08924
Switzerland,CHE,2009,14.01975
Switzerland,CHE,2010,13.95175
Switzerland,CHE,2011,13.93491
Switzerland,CHE,2012,14.02331
Switzerland,CHE,2014,14.42191
Switzerland,CHE,2015,14.46213
Switzerland,CHE,2016,14.43511
Syria,SYR,1970,2.93101
Syria,SYR,2002,5.34771
Syria,SYR,2007,7.63386
Syria,SYR,2008,7.09987
Syria,SYR,2009,7.35852
Tajikistan,TJK,1989,9.57363
Tajikistan,TJK,2000,11.35808
Tajikistan,TJK,2017,11.92745
Tanzania,TZA,2002,5.05274
Tanzania,TZA,2012,6.09031
Thailand,THA,1970,4.51692
Thailand,THA,1980,4.27065
Thailand,THA,2004,7.60787
Thailand,THA,2006,7.42759
Thailand,THA,2010,7.93442
Thailand,THA,2013,8.15843
Thailand,THA,2016,8.19174
Thailand,THA,2018,8.67013
Togo,TGO,1970,0.91268
Togo,TGO,2009,5.77561
Togo,TGO,2011,5.58121
Tonga,TON,1986,8.0053
Tonga,TON,1996,10.28397
Tonga,TON,2006,10.04664
Tonga,TON,2011,10.95225
Trinidad and Tobago,TTO,1970,5.88844
Trinidad and Tobago,TTO,1980,6.9906
Trinidad and Tobago,TTO,1990,7.39153
Trinidad and Tobago,TTO,2008,10.83943
Trinidad and Tobago,TTO,2009,10.84118
Trinidad and Tobago,TTO,2011,10.51536
Tunisia,TUN,1975,2.02468
Tunisia,TUN,1980,3.11852
Tunisia,TUN,1984,3.7667
Tunisia,TUN,2008,7.47906
Tunisia,TUN,2010,7.73519
Tunisia,TUN,2011,7.93481
Tunisia,TUN,2012,7.77614
Tunisia,TUN,2016,7.99608
Turkey,TUR,1975,3.03759
Turkey,TUR,1980,3.75772
Turkey,TUR,1985,4.9682
Turkey,TUR,2004,7.02712
Turkey,TUR,2005,7.19823
Turkey,TUR,2006,7.29287
Turkey,TUR,2007,7.3522
Turkey,TUR,2008,7.48301
Turkey,TUR,2009,7.65567
Turkey,TUR,2010,8.23551
Turkey,TUR,2011,8.5065
Turkey,TUR,2012,8.6199
Turkey,TUR,2013,8.53178
Turkey,TUR,2014,8.68472
Turkey,TUR,2015,8.83998
Turkey,TUR,2016,8.95451
Turkey,TUR,2017,9.11207
Turkmenistan,TKM,1995,11.45449
Turks and Caicos Islands,TCA,1970,5.96458
Turks and Caicos Islands,TCA,1980,6.60213
Tuvalu,TUV,1991,7.90611
Uganda,UGA,1991,4.6072
Uganda,UGA,2002,5.25151
Uganda,UGA,2008,5.17103
Uganda,UGA,2010,6.27235
Uganda,UGA,2012,6.33898
Ukraine,UKR,1970,6.43404
Ukraine,UKR,2001,11.29624
United Arab Emirates,ARE,1975,3.18804
United Arab Emirates,ARE,2005,8.74556
United Arab Emirates,ARE,2017,12.42786
United Arab Emirates,ARE,2018,12.74428
United Kingdom,GBR,1971,13.26342
United Kingdom,GBR,2009,13.35049
United Kingdom,GBR,2010,13.47053
United Kingdom,GBR,2011,13.46832
United Kingdom,GBR,2012,13.58462
United Kingdom,GBR,2013,12.96427
United Kingdom,GBR,2014,12.98754
United Kingdom,GBR,2017,13.24225
United States,USA,1970,11.23991
United States,USA,1975,12.31801
United States,USA,1979,12.69094
United States,USA,1980,12.68522
United States,USA,1981,12.77537
United States,USA,1994,13.0101
United States,USA,2004,13.06879
United States,USA,2005,13.0492
United States,USA,2006,13.10184
United States,USA,2008,13.18932
United States,USA,2009,13.19872
United States,USA,2010,13.23445
United States,USA,2011,13.30277
United States,USA,2012,13.35173
United States,USA,2013,13.24691
United States,USA,2014,13.25032
United States,USA,2015,13.27818
United States,USA,2016,13.36257
United States,USA,2018,13.70737
Uruguay,URY,1975,5.73925
Uruguay,URY,1985,6.8077
Uruguay,URY,1996,7.34716
Uruguay,URY,2003,8.74712
Uruguay,URY,2006,7.82792
Uruguay,URY,2008,8.19873
Uruguay,URY,2009,8.20331
Uruguay,URY,2010,8.16006
Uruguay,URY,2011,8.19417
Uruguay,URY,2012,8.24717
Uruguay,URY,2013,8.28621
Uruguay,URY,2014,8.35254
Uruguay,URY,2015,8.4088
Uruguay,URY,2016,8.4214
Uruguay,URY,2017,8.55568
Uruguay,URY,2018,8.62677
Uzbekistan,UZB,2013,11.51212
Uzbekistan,UZB,2014,11.57484
Uzbekistan,UZB,2015,11.59185
Uzbekistan,UZB,2016,11.94813
Uzbekistan,UZB,2018,12.00164
Venezuela,VEN,1971,3.60203
Venezuela,VEN,1981,5.72239
Venezuela,VEN,1990,5.54853
Venezuela,VEN,2006,7.43969
Venezuela,VEN,2007,7.87969
Venezuela,VEN,2008,7.99685
Venezuela,VEN,2009,8.08713
Venezuela,VEN,2011,8.59331
Venezuela,VEN,2015,9.2941
Venezuela,VEN,2016,10.01145
Vietnam,VNM,1979,7.55291
Vietnam,VNM,1989,4.60758
Vietnam,VNM,2009,8.18427
Zambia,ZMB,1980,4.65381
Zambia,ZMB,1990,5.77961
Zimbabwe,ZWE,1992,6.71493
Zimbabwe,ZWE,2002,7.80468
Zimbabwe,ZWE,2012,8.30095
Zimbabwe,ZWE,2014,8.97092
Zimbabwe,ZWE,2017,8.923
